trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-105.60500532373126,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.005, 'e': 0.8065414401773269}",20,0,-17.100945357204917,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-33.0607615941784,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,0,-80.01005969515874,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.005, 'e': 0.794533602503334}",35,14,-95.7517928702253,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 1}",1
47,False,"{'a': 0.005, 'e': 0.7905708496287356}",20,0,-28.290657787523568,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.005, 'e': 0.7866278610665535}",25,0,-128.70257206167702,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.005, 'e': 0.7827045382418681}",25,0,-57.51881477535989,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.005, 'e': 0.7788007830714049}",20,0,-89.09906676994578,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.005, 'e': 0.774916497961081}",30,0,-112.35369689371346,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.005, 'e': 0.7710515858035663}",20,0,-114.37271018829011,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.005, 'e': 0.7672059499758557}",25,8,-31.81061551563794,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
54,False,"{'a': 0.005, 'e': 0.7633794943368531}",20,0,-107.4964280639949,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.005, 'e': 0.7595721232249685}",25,15,-48.78858854504972,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
